,text,manifesto_id,party,date,title,Class
14526,seek cooperation agreement uk government devolved administrations include formal agreement speaking rights scottish ministers direct scottish input development uk policy key eu issues,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
11715,reducing number mps,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
9413,raise quality profile children social work,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
3628,snp mps argue scottish interest times,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
13316,give teachers classroom assistants time teach focus ensuring development core skills schools,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
7783,system needs controlled managed fair,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
6101,earn basic income compensates loss personal allowance,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13051,introduce statutory duty departments work towards eliminating child poverty,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
14926,power raise minimum wage regardless political balance westminster,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
11117,delivered network catapult centres r hubs technologies future,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
7821,backed new statutory local policing commitment guaranteeing neighbourhood policing every community,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
12866,continue invest research development innovation,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
4453,initiate national care repair programme existing roads,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
12609,wish leave trillion debt legacy children,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
7577,start promise investment nhs time care,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
5418,abolishing competition purchaser provider split,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
9541,radically transform mental health services extending use personal budgets,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
12126,combat extremism forms,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
3911,healthy partnership,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
49,,51421_199705,Liberal Democrats,199705,Make the Difference,4
7844,confront neglected problem staff corruption,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
